"filename", "language", "JavaScript", "XML", "CSS", "JSON", "Markdown", "pip requirements", "HTML", "Python", "comment", "blank", "total"
"/Users/landy/Desktop/selfProject/mianatra/src/components/TopicPage/Topic.css", "CSS", 0, 0, 13, 0, 0, 0, 0, 0, 0, 3, 16
"/Users/landy/Desktop/selfProject/mianatra/src/components/TopicPage/TopicContent.js", "JavaScript", 13, 0, 0, 0, 0, 0, 0, 0, 0, 4, 17
"/Users/landy/Desktop/selfProject/mianatra/src/components/TopicPage/TopicPage.js", "JavaScript", 17, 0, 0, 0, 0, 0, 0, 0, 0, 4, 21
"/Users/landy/Desktop/selfProject/mianatra/src/data/quizzes/LinkedListQuiz.js", "JavaScript", 20, 0, 0, 0, 0, 0, 0, 0, 0, 2, 22
"/Users/landy/Desktop/selfProject/mianatra/src/data/quizzes/TreeQuiz.js", "JavaScript", 15, 0, 0, 0, 0, 0, 0, 0, 0, 2, 17
"/Users/landy/Desktop/selfProject/mianatra/src/data/quizzes/graphQuiz.js", "JavaScript", 20, 0, 0, 0, 0, 0, 0, 0, 0, 2, 22
"/Users/landy/Desktop/selfProject/mianatra/src/data/topics/graphTopics.js", "JavaScript", 12, 0, 0, 0, 0, 0, 0, 0, 0, 2, 14
"/Users/landy/Desktop/selfProject/mianatra/src/data/topics/linkedListTopics.js", "JavaScript", 12, 0, 0, 0, 0, 0, 0, 0, 0, 2, 14
"/Users/landy/Desktop/selfProject/mianatra/src/data/topics/treeTopics.js", "JavaScript", 12, 0, 0, 0, 0, 0, 0, 0, 0, 2, 14
"/Users/landy/Desktop/selfProject/mianatra/src/index.css", "CSS", 0, 0, 12, 0, 0, 0, 0, 0, 0, 2, 14
"/Users/landy/Desktop/selfProject/mianatra/src/index.js", "JavaScript", 12, 0, 0, 0, 0, 0, 0, 0, 3, 3, 18
"/Users/landy/Desktop/selfProject/mianatra/src/logo.svg", "XML", 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 1
"/Users/landy/Desktop/selfProject/mianatra/src/reportWebVitals.js", "JavaScript", 12, 0, 0, 0, 0, 0, 0, 0, 0, 2, 14
"/Users/landy/Desktop/selfProject/mianatra/src/setupTests.js", "JavaScript", 1, 0, 0, 0, 0, 0, 0, 0, 4, 1, 6
"Total", "-", 1116, 1, 459, 63447, 39, 3, 20, 19, 123, 345, 65572
